"selected_spots$out1","X.Coordinate","Y.Coordinate"
"priorregion1_spot_1",4101,4605
"priorregion1_spot_2",3895,3048
"priorregion1_spot_3",4858,3048
"priorregion1_spot_4",3964,4126
"priorregion1_spot_5",4514,4605
"priorregion1_spot_6",3826,4126
"priorregion1_spot_7",4376,4844
"priorregion1_spot_8",4445,3527
"priorregion1_spot_9",4445,4006
"priorregion1_spot_10",4652,4126
"priorregion1_spot_11",3895,3527
"priorregion1_spot_12",4170,4245
"priorregion1_spot_13",4583,3288
"priorregion1_spot_14",4032,4245
"priorregion1_spot_15",3895,4485
"priorregion1_spot_16",4583,4724
"priorregion1_spot_17",4376,4605
"priorregion1_spot_18",4996,3767
"priorregion1_spot_19",4789,3886
"priorregion1_spot_20",3826,3168
"priorregion1_spot_21",3826,4605
"priorregion1_spot_22",4996,3048
"priorregion1_spot_23",4308,3288
"priorregion1_spot_24",3895,4245
"priorregion1_spot_25",4514,4365
"priorregion1_spot_26",3757,4245
"priorregion1_spot_27",5133,3048
"priorregion1_spot_28",4239,4365
"priorregion1_spot_29",4376,3886
"priorregion1_spot_30",4927,3168
"priorregion1_spot_31",4308,4485
"priorregion1_spot_32",4239,3407
"priorregion1_spot_33",4583,3527
"priorregion1_spot_34",4858,3767
"priorregion1_spot_35",3895,4006
"priorregion1_spot_36",3964,4844
"priorregion1_spot_37",4652,3647
"priorregion1_spot_38",3826,3407
"priorregion1_spot_39",4377,3407
"priorregion1_spot_40",4170,3288
"priorregion1_spot_41",4170,4964
"priorregion1_spot_42",4170,3527
"priorregion1_spot_43",4376,4365
"priorregion1_spot_44",3757,3048
"priorregion1_spot_45",4720,4724
"priorregion1_spot_46",4308,3527
"priorregion1_spot_47",5133,3288
"priorregion1_spot_48",4789,4365
"priorregion1_spot_49",4514,3886
"priorregion1_spot_50",4376,3647
"priorregion1_spot_51",4858,4485
"priorregion1_spot_52",4170,3767
"priorregion1_spot_53",4033,3527
"priorregion1_spot_54",4720,4006
"priorregion1_spot_55",4239,3168
"priorregion1_spot_56",4789,3168
"priorregion1_spot_57",4583,4485
"priorregion1_spot_58",4652,4365
"priorregion1_spot_59",4170,4724
"priorregion1_spot_60",3757,4485
"priorregion1_spot_61",4239,4605
"priorregion1_spot_62",4720,4485
"priorregion1_spot_63",4308,3767
"priorregion1_spot_64",4445,4245
"priorregion1_spot_65",4101,3407
"priorregion1_spot_66",3964,4605
"priorregion1_spot_67",4652,3408
"priorregion1_spot_68",4583,3048
"priorregion1_spot_69",5064,3886
"priorregion1_spot_70",4308,4964
"priorregion1_spot_71",4514,3168
"priorregion1_spot_72",3757,3527
"priorregion1_spot_73",4720,3767
"priorregion1_spot_74",4652,3886
"priorregion1_spot_75",4101,4365
"priorregion1_spot_76",4927,3647
